Buffer, Bandwidth, PreviousQuality, PreviousBandwidth, Quality
16081,4672,2,3990,2
17339,3854,2,4672,2
18461,3826,2,3854,2
19577,3547,2,3826,2
20631,3634,2,3547,3
20000,3790,3,3634,3
19473,3764,3,3790,3
18929,4406,3,3764,3
18742,3746,3,4406,3
18186,3677,3,3746,3
17584,3823,3,3677,3
17078,2712,3,3823,3
15586,3639,3,2712,3
14959,6217,3,3639,3
15379,6648,3,6217,3
15895,5286,3,6648,4
14542,4876,4,5286,4
12915,1134,4,4876,4
8915,1579,4,1134,3
4915,2114,3,1579,2
5396,1752,2,2114,2
5584,441,2,1752,2
1584,9,2,441,1
0,265,1,9,1
2000,384,1,265,1
2000,366,1,384,1
2000,692,1,366,1
2744,545,1,692,1
3178,275,1,545,1
2177,453,1,275,1
2314,245,1,453,1
2000,264,1,245,1
2000,771,1,264,1
2862,804,1,771,1
3768,1104,1,804,1
4944,535,1,1104,2
944,956,2,535,1
2008,955,1,956,1
3070,404,1,955,1
2995,1074,1,404,1
4150,1229,1,1074,1
5400,2863,1,1229,2
6252,3147,2,2863,2
7199,3570,2,3147,2
8259,3516,2,3570,2
9306,2124,2,3516,2
9794,2265,2,2124,2
10369,4111,2,2265,2
11540,6481,2,4111,3
12020,9517,3,6481,3
12954,8766,3,9517,3
13804,9270,3,8766,3
14712,9458,3,9270,3
15639,9929,3,9458,3
16613,10410,3,9929,3
17629,8794,3,10410,3
18483,9630,3,8794,3
19428,9670,3,9630,3
20376,6075,3,9670,4
19445,11116,4,6075,4
19798,10357,4,11116,4
20037,9127,4,10357,4
20053,3473,4,9127,4
16053,1721,4,3473,4
12053,4445,4,1721,3
11883,3263,3,4445,3
10964,3114,3,3263,3
9910,334,3,3114,3
5910,2046,3,334,2
6344,1310,2,2046,2
5955,2106,2,1310,2
6432,1373,2,2106,2
6147,2337,2,1373,2
6763,3793,2,2337,2
7872,3538,2,3793,3
7173,724,3,3538,2
3173,1010,2,724,1
4281,1818,1,1010,2
4531,3076,2,1818,2
5455,3634,2,3076,2
6530,4137,2,3634,2
7705,5216,2,4137,3
7841,5980,3,5216,3
8203,4464,3,5980,3
8042,2461,3,4464,3
6204,958,3,2461,2
4974,2726,2,958,2
5773,2514,2,2726,2
6480,3865,2,2514,2
7604,1958,2,3865,3
3604,986,3,1958,1
4693,1768,1,986,2
4897,950,2,1768,2
3640,839,2,950,1
4587,644,1,839,2
587,1244,2,644,1
2000,1841,1,1244,1
3465,241,1,1841,1
2048,21,1,241,1
0,2086,1,21,1
2000,2108,1,2086,1
3520,1758,1,2108,1
4965,2614,1,1758,2
5718,2433,2,2614,2
6385,1702,2,2433,2
6523,4394,2,1702,2
7740,4399,2,4394,2
8958,5208,2,4399,3
9092,5416,3,5208,3
9293,1796,3,5416,3
5293,4350,3,1796,2
